Galaxy in Pair of Galaxies ; NGC 1 
Galaxy in Pair of Galaxies ; NGC 2 
Galaxy ; NGC 3 
Galaxy ; NGC 4 
Galaxy ; NGC 5 
Galaxy ; NGC 7 
Double or multiple star ; NGC 8 
Emission-line galaxy ; NGC 9 
Emission-line galaxy ; NGC 10 
Galaxy ; NGC 11 
Galaxy ; NGC 12 
Galaxy in Group of Galaxies ; NGC 13 
Interacting Galaxies ; NGC 14 
Galaxy in Group of Galaxies ; NGC 15 
Galaxy ; NGC 16 
Galaxy in Group of Galaxies ; NGC 19 
Galaxy in Group of Galaxies ; NGC 20 
Galaxy in Group of Galaxies ; NGC 22 
Galaxy ; NGC 23 
Galaxy in Group of Galaxies ; NGC 24 
Brightest galaxy in a Cluster (BCG) ; NGC 25 
Galaxy in Pair of Galaxies ; NGC 26 
Galaxy in Group of Galaxies ; NGC 27 
Galaxy in Group of Galaxies ; NGC 28 
Galaxy in Group of Galaxies ; NGC 29 
Galaxy ; NGC 31 
Seyfert 2 Galaxy ; NGC 34 
Galaxy ; NGC 35 
LINER-type Active Galaxy Nucleus ; NGC 36 
Galaxy in Group of Galaxies ; NGC 37 
Galaxy ; NGC 38 
Galaxy in Group of Galaxies ; NGC 39 
Planetary Nebula ; NGC 40 
Galaxy in Group of Galaxies ; NGC 41 
Galaxy in Group of Galaxies ; NGC 42 
Galaxy in Group of Galaxies ; NGC 43 
Object of unknown nature ; NGC 44 
Low Surface Brightness Galaxy ; NGC 45 
Galaxy in Group of Galaxies ; NGC 47 
Galaxy ; NGC 48 
Galaxy in Group of Galaxies ; NGC 49 
Galaxy in Group of Galaxies ; NGC 50 
Galaxy in Group of Galaxies ; NGC 51 
Galaxy in Group of Galaxies ; NGC 52 
Galaxy ; NGC 53 
Emission-line galaxy ; NGC 54 
Galaxy in Group of Galaxies ; NGC 55 
Object of unknown nature ; NGC 56 
Galaxy in Group of Galaxies ; NGC 57 
Galaxy in Group of Galaxies ; NGC 59 
LINER-type Active Galaxy Nucleus ; NGC 60 
Galaxy ; NGC 61 
Galaxy ; NGC 62 
Galaxy ; NGC 63 
Emission-line galaxy ; NGC 64 
Galaxy in Group of Galaxies ; NGC 65 
Emission-line galaxy ; NGC 66 
Galaxy in Group of Galaxies ; NGC 67 
Galaxy in Group of Galaxies ; NGC 68 
Galaxy in Group of Galaxies ; NGC 69 
Seyfert 2 Galaxy ; NGC 70 
Seyfert 2 Galaxy ; NGC 71 
Galaxy in Group of Galaxies ; NGC 72 
Galaxy ; NGC 73 
Galaxy in Group of Galaxies ; NGC 74 
Galaxy ; NGC 75 
Galaxy in Group of Galaxies ; NGC 76 
Galaxy ; NGC 77 
Galaxy ; NGC 78 
Galaxy in Group of Galaxies ; NGC 79 
Galaxy in Group of Galaxies ; NGC 80 
Galaxy in Group of Galaxies ; NGC 81 
Galaxy in Group of Galaxies ; NGC 83 
Galaxy in Group of Galaxies ; NGC 84 
Galaxy in Group of Galaxies ; NGC 85 
Galaxy in Group of Galaxies ; NGC 86 
Galaxy in Group of Galaxies ; NGC 87 
Galaxy in Group of Galaxies ; NGC 88 
Galaxy in Group of Galaxies ; NGC 89 
Galaxy in Group of Galaxies ; NGC 90 
Galaxy in Cluster of Galaxies ; NGC 92 
Galaxy in Group of Galaxies ; NGC 93 
Galaxy in Group of Galaxies ; NGC 94 
Galaxy in Group of Galaxies ; NGC 95 
Galaxy in Group of Galaxies ; NGC 96 
Galaxy ; NGC 97 
Galaxy ; NGC 98 
Galaxy ; NGC 99 
Low Surface Brightness Galaxy ; NGC 100 
Galaxy ; NGC 101 
Galaxy in Group of Galaxies ; NGC 102 
Open (galactic) Cluster ; NGC 103 
Globular Cluster ; NGC 104 
Galaxy ; NGC 105 
Galaxy in Group of Galaxies ; NGC 106 
Galaxy ; NGC 107 
Galaxy ; NGC 108 
Galaxy in Pair of Galaxies ; NGC 109 
Open (galactic) Cluster ; NGC 110 
Galaxy in Group of Galaxies ; NGC 112 
Galaxy in Group of Galaxies ; NGC 113 
Galaxy in Group of Galaxies ; NGC 114 
Low Surface Brightness Galaxy ; NGC 115 
Galaxy in Group of Galaxies ; NGC 116 
Galaxy in Group of Galaxies ; NGC 117 
Seyfert 2 Galaxy ; NGC 118 
Galaxy in Group of Galaxies ; NGC 119 
Galaxy in Group of Galaxies ; NGC 120 
Globular Cluster ; NGC 121 
Galaxy in Group of Galaxies ; NGC 124 
Galaxy in Group of Galaxies ; NGC 125 
Galaxy in Group of Galaxies ; NGC 126 
Galaxy in Group of Galaxies ; NGC 127 
Galaxy in Group of Galaxies ; NGC 128 
Open (galactic) Cluster ; NGC 129 
Galaxy in Group of Galaxies ; NGC 130 
Galaxy in Pair of Galaxies ; NGC 131 
Galaxy in Group of Galaxies ; NGC 132 
Open (galactic) Cluster ; NGC 133 
Galaxy in Pair of Galaxies ; NGC 134 
Emission-line galaxy ; NGC 135 
Open (galactic) Cluster ; NGC 136 
Galaxy in Group of Galaxies ; NGC 137 
Galaxy ; NGC 138 
Galaxy ; NGC 139 
Galaxy in Group of Galaxies ; NGC 140 
Galaxy ; NGC 141 
Galaxy in Group of Galaxies ; NGC 142 
Galaxy in Group of Galaxies ; NGC 143 
