 
Galaxy in Pair of Galaxies; NGC 1 
Galaxy in Pair of Galaxies ; NGC 2 
Galaxy ; NGC 3 
Galaxy ; NGC 4 
Galaxy ; NGC 5 
Galaxy ; NGC 7 
Double or multiple star ; NGC 8 
Emission-line galaxy ; NGC 9 
Emission-line galaxy ; NGC 10 
Galaxy ; NGC 11 
Galaxy ; NGC 12 
Galaxy in Group of Galaxies ; NGC 13 
Interacting Galaxies ; NGC 14 
Galaxy in Group of Galaxies ; NGC 15 
Galaxy ; NGC 16<! ; NGC 17 
Galaxy in Group of Galaxies ; NGC 19 
Galaxy in Group of Galaxies ; NGC 20 
Galaxy in Group of Galaxies ; NGC 22 
Galaxy ; NGC 23 
Galaxy in Group of Galaxies ; NGC 24NGC    25
        </b>
 -- ; NGC 25
